,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
0,JAN,1.0,Ghost Stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita DhulipalaMrunal ThakurAvinash TiwaryJanhvi KapoorSurekha SikriRaghuvir YadavGulshan DevaiahVijay VarmaPavail GulatiJyoti SubhashEva Ameet PardeshiKitu GidwaniSumit Tandon,"RSVP Movies, Flying Unicorn Entertainment, Netflix",[16]
1,JAN,3.0,Bhangra Paa Le,Sneha Taurani,Sunny KaushalRukshar DhillonShriya Pilgaonkar,RSVP Movies,[17]
2,JAN,3.0,Sab Kushal Mangal,Karan Vishwanath Kashyap,Akshaye KhannaRiva KishanPriyank Sharma,One Up Entertainment,[18]
3,JAN,3.0,Shimla Mirchi,Ramesh Sippy,Hema MaliniRajkummar RaoRakul Preet Singh,Viacom18 Motion Pictures,[19]
4,JAN,6.0,Half Widow,Danish Renzu,Neelofar HamidShahnawaz BhatMir SarwarHaseena Sofi,"Renzu Films, Gaya Art Films",[20]
5,JAN,10.0,Chhapaak,Meghna Gulzar,Deepika PadukoneVikrant Massey,"Fox Star Studios, Ka Productions, Mriga Films",[21]
6,JAN,10.0,Tanhaji,Om Raut,Ajay DevgnSaif Ali KhanKajolSharad Kelkar,"Ajay Devgn FFilms, T-Series",[22]
7,JAN,17.0,Bunker,Jugal Raja,Abhijeet SinghArindita Kalita,Wagging Tail Entertainment,[23]
8,JAN,17.0,Jai Mummy Di,Navjot Gulati,Sunny SinghSonnalli SeygallPoonam DhillonSupriya Pathak,"Luv Films, T-Series",[24]
9,JAN,24.0,Panga,Ashwiny Iyer Tiwari,Kangana RanautJassi GillRicha ChadhaNeena Gupta,Fox Star Studios,[25]
10,JAN,24.0,Street Dancer 3D,Remo D'Souza,Varun DhawanShraddha KapoorPrabhu DevaNora FatehiAparshakti KhuranaMurali SharmaRaghav JuyalDharmesh YelandePunit PathakJigar RupareliyaSonam Bajwa,"T-Series, Remo D'Souza Entertainment",[26]
11,JAN,31.0,Gul Makai,H.E. Amjad khan,Reem ShaikhAtul KulkarniDivya DuttaOm PuriArif ZakariaMukesh RishiAbhimanyu SinghPankaj Tripathi,Pen India Limited,[27]
12,JAN,31.0,Happy Hardy and Heer,Raka,Himesh ReshammiyaSonia Mann,"HR Musik Limited, EYKA Films",[28]
