,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
39,MAY,6,One Night Stand,Jasmine Moses D'Souza,"Sunny Leone, Tanuj Virwani, Nyra Banerjee",Thriller,,[91][92][93]
40,MAY,6,Traffic,Rajesh Pillai,"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Kitu Gidwani, Prosenjit Chatterjee, Sachin Khedekar, Nikita Thukral, Vishal Singh, Parambrata Chatterjee",Thriller,,[94][95][96]
41,MAY,6,1920: London,Tinu Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal",Horror,,[97][98]
42,MAY,6,Murari the Mad Gentleman,,,Comedy,,
43,MAY,13,Azhar,Tony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Gautam Gulati, Kunaal Roy Kapur, Lara Dutta, Karanvir Sharma",Biopic,,[99][100]
44,MAY,13,Buddha in a Traffic Jam,Vivek Agnihotri,"Arunoday Singh, Mahie Gill, Anchal Dwivedi, Pallavi Joshi, Anupam Kher",Political drama,,[101][102]
45,MAY,13,Khel Toh Ab Shuru Hoga,Kunal V Singh,"Ruslaan Mumtaz, Devshi Khanduri",Comedy,,[103]
46,MAY,16,Dear Dad,Tanuj Bhramar,"Arvind Swamy, Himanshu Sharma, Ekavali Khanna",Drama,,[104][105]
47,MAY,20,Kaptaan,Mandeep Kumar,"Gippy Grewal, Karishma Kotak, Rishaan Dutta",Comedy,,[106][107]
48,MAY,20,Sarbjit,Omung Kumar,"Aishwarya Rai, Randeep Hooda, Richa Chadha",Biopic,,[108][109]
49,MAY,27,Phobia,Pawan Kripalani,"Radhika Apte, Satyadeep Misra",Thriller/horror,,[110][111]
50,MAY,27,Veerappan,Ram Gopal Varma,"Sandeep Bharadwaj, Lisa Ray, Sachiin Joshi, Usha Jadhav",Action/biopic,Phantom Films,[112][113]
51,MAY,27,Fredrick,Rajesh Butalia,"Prashant Narayanan, Avinash Dhyani",Action,,[114][115]
52,JUN,3,Housefull 3,Sajid-Farhad,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jacqueline Fernandez, Lisa Haydon, Nargis Fakhri, Nikitin Dheer, Jackie Shroff",Comedy,"Nadiadwala Grandson Entertainment, Eros International",[116]
53,JUN,3,Project Marathwada,"Prakash Patel, Bhavin Wadia","Om Puri, Dalip Tahil, Seema Biswas",Drama,,
54,JUN,10,Do Lafzon Ki Kahani,Deepak Tijori,"Randeep Hooda, Kajal Aggarwal",Romantic,,[117][118]
55,JUN,10,Dhanak,Nagesh Kukunoor,"Hetal Gadda, Krrish Chabbria, Vipin Sharma, Vibha Chibber, Vijay Maurya",Drama,,[119][120]
