,Opening,Opening.1,Title,Director,Cast,Genre,Source
31,MAR,14.0,Bewakoofiyaan,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor",Romance,[41]
32,MAR,14.0,Neighbours,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh",Horror,[42]
33,MAR,14.0,W,Tarun Madan Chopra,"Danish Pandor, Raaj Singh Arora, Leslie Tripathy, Sonal Giani, Meer Ali, Abhey Attri",Thriller,[43]
34,MAR,21.0,Ankhon Dekhi,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala",Comedy,[44]
35,MAR,21.0,Gang of Ghosts,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, Saurabh Shukla, Chunky Pandey",Horror Comedy,[45]
36,MAR,21.0,Lakshmi,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor",Drama,[46]
37,MAR,21.0,Ragini MMS 2,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta",Horror/Adult,[47]
38,MAR,28.0,Dishkiyaoon,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan",Action,[48]
39,MAR,28.0,O Teri,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa",Comedy,[49]
40,MAR,28.0,Station,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, Siddhanth Sundar",Thriller,[50][51]
41,MAR,28.0,Youngistaan,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Shaikh, Boman Irani",Drama,[52]
42,APR,4.0,Ebn-E-Batuta,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, Neelam Singh",Sci-fi/Comedy,[53]
43,APR,4.0,Honour Killing,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra",Social,[54]
44,APR,4.0,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma",Drama/Fantasy,[55]
45,APR,4.0,Main Tera Hero,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma",Comedy,[56]
46,APR,11.0,Bhoothnath Returns,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav",Fantasy/Children,[57]
47,APR,18.0,2 States,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Ronit Roy",Romance,[58]
48,APR,18.0,Dekh Tamasha Dekh,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav",Comedy,[59]
49,APR,18.0,Lucky Kabootar,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjay Mishra, Madhavi Sharma",Romance/Comedy,[60]
50,APR,25.0,Kaanchi: The Unbreakable,Subhash Ghai,"Mishti, Kartik Aaryan, Rishi Kapoor, Mithun Chakraborty",Musical/Drama,[61]
51,APR,25.0,Revolver Rani,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain",Drama,[62]
52,APR,25.0,Samrat & Co.,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma",Mystery/Thriller/Drama,[63]
53,MAY,2.0,Purani Jeans,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri",Romance/Drama,[64]
54,MAY,2.0,Kya Dilli Kya Lahore,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan",Social,[65]
55,MAY,2.0,Angry Young Man,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha",Action,[66]
56,MAY,2.0,Kahin Hai Mera Pyar,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff",Romance,[67]
57,MAY,9.0,Hawaa Hawaai,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav",Drama,[68]
58,MAY,9.0,Khwaabb,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh",Romance/Drama,[69]
59,MAY,9.0,Koyelaanchal,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino",Action,[70]
60,MAY,9.0,Manjunath,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma",Drama,[71]
61,MAY,9.0,Mastram,Akhilesh Jaiswal,"Rahul Bagga, Tara Alisha Berry",Adult,[72]
